ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
0,337.9,63.29,518.13,22.38,18.59,76.84195691702774
1,342.96,63.19,488.85,37.36,20.41,80.38324061996472
2,369.86,57.39,516.86,26.45,20.89,80.35705250270533
3,304.65,67.8,517.5,32.98,22.52,82.97070015724714
4,442.25,68.21,500.91,37.28,21.88,83.5339870894511
5,736.84,66.18,540.48,24.58,22.51,86.35163265392748
6,460.0,59.88,460.3,49.72,18.76,80.5887121150146
7,394.64,64.34,519.61,35.99,19.51,81.10693083910688
8,430.41,65.21,512.5,31.24,20.32,81.06324496792871
9,432.9,63.51,412.19,38.55,20.8,78.10268346493666
10,408.16,71.85,538.17,36.91,20.73,83.74010442379196
11,392.64,74.98,454.5,24.66,21.12,77.57008768560425
12,284.79,64.23,518.91,19.08,21.03,78.47027153771973
13,444.47,68.55,461.97,21.22,23.58,80.40479991721566
14,397.99,64.42,518.99,27.85,21.56,81.79563708434827
15,359.74,73.42,464.84,26.35,19.23,75.9991815829546
16,393.78,69.13,477.95,30.23,19.65,78.13248129185365
17,477.04,67.07,415.8,24.18,19.42,74.38529109977262
18,446.17,62.14,519.08,36.81,22.01,84.45842627572013
19,334.03,73.59,567.12,32.39,18.29,80.920734942285
20,390.99,62.29,463.81,31.64,21.92,80.14172071463474
21,379.24,70.2,466.4,31.76,18.57,76.54437128724243
22,346.23,67.93,474.49,24.74,19.98,76.81833845710261
23,385.8,66.51,513.31,31.5,19.09,79.39797859828157
24,447.93,65.34,546.72,40.63,19.49,83.81000775273016
25,303.87,65.15,404.05,42.79,17.86,74.11589110254542
26,540.21,68.05,493.24,32.5,19.77,80.7739494999991
27,291.4,65.93,425.79,36.36,22.31,78.75825286881363
28,620.03,68.95,526.59,26.17,18.71,80.73451923814427
29,539.9,71.64,385.9,27.98,20.33,75.27734373496938
30,501.58,73.71,471.35,28.08,21.27,80.20394747515999
31,408.14,64.46,528.47,34.98,18.87,80.75903805623491
