"ID","Idade","Renda","Regiao","Genero","seguro auto","seguro vida Emp","seguro vida PF","Seguro Residencial","Investimento Fundos_cambiais","Investimento Fundos_commodities","Investimento LCI","Investimento LCA","Investimento Poupanca","Investimento Fundos Multimercado","Investimento Tesouro Direto","Financiamento Casa","Financiamento Carro","Emprestimo _pessoal","Emprestimo _consignado","Emprestimo _limite_especial","Emprestimo _educacao","Emprestimo _viagem","Investimento CDB","Investimento Fundos","RECOMMENDATION_1","CONFIDENCE_1","RECOMMENDATION_2","CONFIDENCE_2","RECOMMENDATION_3","CONFIDENCE_3"
"1004.00","40.685","8474.687","CO","1.00","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","T","F","T","F","Investimento Fundos","0.900164","Emprestimo _viagem","0.883252",,
"1028.00","56.693","7996.353","SE","0.00","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",,,,,,
"1034.00","49.413","8624.335","NE","0.00","T","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F",,,,,,
"1035.00","22.764","6885.196","S","1.00","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F",,,,,,
"1039.00","22.059","7749.965","NE","1.00","T","T","T","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F",,,,,,
"1048.00","56.736","6430.391","CO","1.00","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",,,,,,
"1067.00","60.131","8517.631","CO","1.00","F","F","F","F","F","T","F","F","F","T","T","F","F","T","T","T","T","T","T","T","Investimento LCI","0.826283","Investimento Fundos_cambiais","0.822335",,
"1068.00","43.942","8462.347","CO","1.00","F","F","F","F","T","F","F","F","T","T","F","F","F","T","T","T","T","T","T","T","Investimento Fundos_commodities","0.819101","Investimento LCI","0.810674",,
"1085.00","43.369","8142.529","SE","1.00","F","T","F","T","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","T","seguro vida PF","0.889935","seguro auto","0.887013",,
"1092.00","40.664","8082.479","CO","1.00","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F",,,,,,
"1094.00","23.826","7558.996","NE","1.00","F","T","T","T","T","T","T","T","T","T","T","T","F","F","T","F","F","T","F","F","seguro auto","0.987231",,,,
"1116.00","23.067","8017.511","NE","1.00","F","F","F","F","T","F","F","T","F","F","F","F","T","F","F","F","F","T","F","F","Investimento Fundos_commodities","0.822053","Investimento LCI","0.819812","Investimento Poupanca","0.814433"
"1119.00","21.557","7477.476","N","1.00","F","T","F","F","F","F","F","F","T","T","F","F","F","F","F","F","F","F","T","F",,,,,,
"1127.00","46.051","8685.551","S","0.00","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","T",,,,,,
"1132.00","32.248","9161.201","S","1.00","T","T","T","T","F","F","F","F","T","F","F","T","T","T","T","T","F","T","F","F",,,,,,
"1177.00","50.909","7200.431","CO","1.00","T","T","T","T","F","F","T","F","F","T","F","T","T","T","T","T","F","F","F","T","Investimento CDB","0.804809",,,,
"1194.00","40.918","7333.91","SE","1.00","F","T","F","F","T","T","T","F","F","F","T","F","F","F","F","F","T","T","T","T","Investimento Poupanca","0.855811","Investimento LCA","0.805595",,
"1198.00","35.666","7167.777","S","1.00","T","T","T","T","F","F","F","F","F","F","F","T","T","T","T","T","T","F","F","F","Investimento CDB","0.834699","Investimento Fundos","0.803279",,
"1198.00","35.666","7167.777","S","1.00","T","T","T","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F",,,,,,
"1198.00","35.666","7167.777","S","1.00","T","T","T","T","T","F","F","F","F","F","T","T","T","T","T","T","T","F","F","F","Investimento CDB","0.834699","Investimento Fundos","0.803279",,
